Subject Area,Mapping/Mapplet,Mapping/Mapplet Name,Count Of Component,Component Weightage,Source,Source Weightage,Target,Target Weightage,Input Transformation,Output Transformation,Connected Lookup,Filter,Un-Connected Lookup ,Joiner,Sorter,Expression,Aggregator,Sequence Generator,Normalizer,Update Strategy,Rank,Transaction Control,Union Component,Router,Source Qualifier,SQL Transform,Java,Stored Procedure,Custom Transformation,Mapplets,Application Source Qualifier,XML Source Qualifier,MQ Source Qualifier,Application Multi-group Source Qualifier,Flexible Target key,HTTP,Web Services Consumer,Salesforce Lookup,Salesforce Picklist,Salesforce Merge,XML Parser,XML Generator,Identity Resolution,Unstructured Data,Data Masking,Pattern,Closed Loop,Unused/Unconnected Mapping,Complexity
MetLife_p2_CSC_GroupLife,MAPPING,m_STARTRAK_Member_Diary_Delta_Data_Extraction,13,20,2,50,1,10,0,0,0,1,1,1,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|1|0|0|0|1|1|1|2|3|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,NO,COMPLEX
MetLife_p2_CSC_GroupLife,MAPPING,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,5,10,2,10,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,NO,SIMPLE
MetLife_p2_CSC_GroupLife,MAPPING,m_STARTRAK_Member_Conditions_Active_One_Time_Extraction,8,10,3,50,1,10,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3|1|0|0|0|0|0|0|0|2|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,NO,SIMPLE
MetLife_p2_CSC_GroupLife,MAPPING,m_STARTRAK_Member_Conditions_Delta_Data_Extraction,13,20,2,50,1,10,0,0,0,1,1,1,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|1|0|0|0|1|1|1|2|3|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,NO,COMPLEX
MetLife_p2_CSC_GroupLife,MAPPING,m_GBS_CONTROL_ACCOUNTING_One_Time_Extraction,4,10,1,10,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0,0,NO,HIGH COMPLEX
MetLife_p2_CSC_GroupLife,MAPPING,m_Transfer_SOR_MF_HDFS_TRIGGER,4,10,1,10,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,NO,SIMPLE
MetLife_p2_IB_OPAS_UDX,MAPPING,m_load_opas_output,7,10,1,10,1,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1|1|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0,0,NO,SUPER COMPLEX
MetLife_p2_IB_OPAS_UDX,MAPPING,m_update_opas_1203,9,10,2,50,1,10,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|1|0|0|1|0|0|1|0|1|0|0|0|1|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,NO,SIMPLE
MetLife_p2_IB_OPAS_UDX,MAPPING,m_load_T_SCHED_VAL_CVR_EX_TBL_Load_Error_Report,11,20,1,10,2,10,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1|2|0|0|0|0|1|0|1|4|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,NO,SIMPLE
MetLife_p2_IB_OPAS_UDX,MAPPING,m_delete_ods_acord_1203,4,10,1,10,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,NO,SIMPLE
MetLife_p2_IB_OPAS_UDX,MAPPING,m_update_opas_all_accord,5,10,1,10,1,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1|1|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,NO,SIMPLE
MetLife_p2_IB_OPAS_UDX,MAPPING,m_load_ods_all_accord,240,180,44,200,51,200,0,0,5,1,2,0,9,84,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44|51|0|0|5|1|2|0|9|84|0|0|0|0|0|0|0|0|44|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,5,NO,SUPER COMPLEX
MetLife_p2_IB_OPAS_UDX,MAPPING,m_load_ods_acord_1203,38,50,7,100,10,100,0,0,0,1,2,0,3,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7|10|0|0|0|1|2|0|3|8|0|0|0|0|0|0|0|0|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,NO,SUPER COMPLEX
MetLife_p2_IB_OPAS_UDX,MAPPING,m_load_opas_input,11,20,2,50,2,10,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|2|0|0|1|0|0|0|0|2|0|0|0|1|0|0|0|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,NO,MEDIUM
MetLife_p2_IB_OPAS_UDX,MAPPING,m_T_INS_POL_TRAN_Rejected_Records,8,10,2,10,1,10,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|1|0|0|0|1|0|1|0|1|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,NO,SIMPLE
MetLife_p2_RAD_APP11538_GVWB_LNOX,MAPPING,m_LENOX_IDI_FTP,3,10,1,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0,0,NO,MEDIUM
MetLife_p2_RAD_APP11538_GVWB_LNOX,MAPPING,m_LENOX_GVUL_ACCORD_XML,8,10,1,10,2,10,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1|2|0|0|0|0|0|0|0|2|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0,0,NO,HIGH COMPLEX
MetLife_p2_RAD_APP11538_GVWB_LNOX,MAPPING,m_LENOX_token_creation_for_getplatform,6,10,1,10,1,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1|1|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0,0,NO,MEDIUM
